буэнос-айрес,аргентина,буэнос-айрес	Buenos_Aires
вальо-базиликата,италия,вальо-базиликата	Vaglio_Basilicata
анцано-дель-паркий,италия,анцано-дель-парко	Anzano_del_Parco
альборх,испания,альборхе	Alborge
вальехо,калифорния,соединять штат америка,сша,америка,вальехо	Vallejo,_California
вишать,италия,вишано	Visciano
банск-штьявница,словакия,банска-штьявница	Banská_Štiavnica
аламогордо,,аламогордо	Alamogordo,_New_Mexico
вилладеать,италия,вилладеати	Villadeati
абусир,,абусир	Abusir
бергланда,австрия,бергланд	Bergland,_Austria
аладренный,испания,аладрен	Aladrén
буй,италия,буя	Buja
ахар,иран,ахар	Ahar
ардаль,иран,ардаль	Ardal
беналуа-де-ласа-вильяс,испания,беналуа-де-лас-вильяс	Benalúa_de_las_Villas
бернат-тичино,италия,бернате-тичино	Bernate_Ticino
велье,италия,италия,велье	Veglie
афин,греция,афины	Athens
ареополис,греция,ареополис	Areopoli
виго-ди-кадор,италия,виго-ди-кадоре	Vigo_di_Cadore
базиано,италия,базиано	Basiano
боттичино,италия,боттичино	Botticino
вестервик,швеция,вестервик	Västervik
брафим,испания,брафим	Bràfim
аквилей,италия,аквилея	Aquileia
бенетутти,италия,бенетутти	Benetutti
бартоломеберг,австрия,бартоломеберг	Bartholomäberg
бреббья,италия,бреббья	Brebbia
вадзима,япония,вадзима	Wajima,_Ishikawa
армянск,крым,армянск	Armyansk
венеция,италия,венеция	Venice
варберг,швеция,швеция,варберг	Varberg
арменто,италия,арменто	Armento
безенцона,италия,безенцоне	Besenzone
вилланов-дель-геббо,италия,вилланова-дель-геббо	Villanova_del_Ghebbo
врбовец,хорватия,врбовец	Vrbovec
вадносить-хайтс,город,миннесота,соединять штат америка,сша,америка,ваднес-хайтс	Vadnais_Heights,_Minnesota
аньон,италия,аньоне	Agnone
болоньола,италия,болоньола	Bolognola
боубеллс,дакота,северный дакота,соединять штат америка,сша,америка,боубеллс	Bowbells,_North_Dakota
али-терм,италия,али-терме	Alì_Terme
боргоновый-валя-тидон,италия,боргоново-валь-тидоне	Borgonovo_Val_Tidone
валкеакоски,,валкеакоски	Valkeakoski
виндигштайг,австрия,виндигштайг	Windigsteig
вайтенсфельд-они-гуркталь,австрия,вайтенсфельд-им-гуркталь	Weitensfeld_im_Gurktal
вилла-фаральди,италия,вилла-фаральди	Villa_Faraldi
варна,болгария,варна	Varna
беттлс,аляска,соединять штат америка,сша,америка,беттлс	Bettles,_Alaska
алькать-де-гурреа,испания,алькала-де-гурреа	Alcalá_de_Gurrea
бабольсер,иран,бабольсер	Babolsar
аксум,город,эфиопия,аксум	Axum
бутурлиновка,россия,воронежский область,бутурлиновка	Buturlinovka
бад-санкт-леонхард-он-лафантталь,австрия,бад-санкт-леонхард-им-лафантталь	Bad_Sankt_Leonhard_im_Lavanttal
бодетта,город,миннесота,соединять штат америка,сша,америка,бодетт	Baudette,_Minnesota
больсен,италия,больсена	Bolsena
ванцаго,италия,ванцаго	Vanzago
веккьяно,италия,веккьяно	Vecchiano
аурайя,индия,аурайя	Auraiya
бопфинген,германия,бопфинген	Bopfingen
вико-экуэнс,италия,вико-экуэнсе	Vico_Equense
алкобас,город,,алкобаса	Alcobaça,_Portugal
аркуа-петрарка,италия,аркуа-петрарка	Arquà_Petrarca
вилланов-дель-баттиста,италия,вилланова-дель-баттиста	Villanova_del_Battista
бодьо-ломный,италия,бодьо-ломнаго	Bodio_Lomnago
аллахабад,,аллахабад	Allahabad
архес,испания,архес	Argés
варпалот,венгрия,варпалота	Várpalota
вилламирольо,италия,вилламирольо	Villamiroglio
асин,испания,асин	Asín,_Aragon
верхотурье,россия,свердловский область,свердловск,верхотурье	Verkhoturye
вильяверде-дель-монт,испания,вильяверде-дель-монте	Villaverde_del_Monte
вейи,этруск,древний город,вейи	Veii
берголо,италия,берголо	Bergolo
бжостька,город,польша,бжостек	Brzostek
вейхеровый,польша,вейхерово	Wejherowo
вилланов-мондовь,италия,вилланова-мондови	Villanova_Mondovì
аурангабад,город,махараштра,индия,аурангабад	Aurangabad,_Maharashtra
бел-под-бездезь,чехия,бела-под-бездезем	Bělá_pod_Bezdězem
агилар-дель-альфамбра,испания,агилар-дель-альфамбра	Aguilar_del_Alfambra
вайано-кремаско,италия,вайано-кремаско	Vaiano_Cremasco
бэйань,китайский народный республика,китай,кнр,бэйань	Bei'an
баррачина,испания,баррачина	Barrachina
бонаркадо,италия,бонаркадо	Bonarcado
борджалло,италия,борджалло	Borgiallo
аутильо-де-кампос,испания,аутильо-де-кампос	Autillo_de_Campos
архонилья,испания,архонилья	Arjonilla
ангвиллар-сабация,италия,ангвиллара-сабация	Anguillara_Sabazia
бхинга,индия,бхинга	Bhinga
бромберг,австрия,нижний австрия,австрия,бромберг	Bromberg,_Lower_Austria
валье-де-ласа-навас,испания,валье-де-лас-навас	Valle_de_las_Navas
вильянуэв-дель-рио-и-минас,испания,вильянуэва-дель-рио-и-минас	Villanueva_del_Río_y_Minas
аркота,индия,аркот	Arcot,_Vellore
балтойя-вок,литва,балтойи-воке	Baltoji_Vokė
андрыхув,польша,андрыхув	Andrychów
больбеный,италия,больбено	Bolbeno
валье-де-лос,испания,валье-де-лоса	Valle_de_Losa
вейс,хузестан,иран,вейс	Veys
вильянуэв-де-гомес,испания,вильянуэва-де-гомес	Villanueva_de_Gómez
боровани,чехия,боровани	Borovany_(České_Budějovice_District)
вальярта-де-буреб,испания,вальярта-де-буреба	Vallarta_de_Bureba
аветрана,италия,аветрана	Avetrana
артур,айова,соединять штат америка,сша,америка,артур	Arthur,_Iowa
вильякаррильо,испания,вильякаррильо	Villacarrillo
безоццо,италия,безоццо	Besozzo
вальмохадо,испания,вальмохадо	Valmojado
бездружица,чехия,бездружице	Bezdružice
арауко,чили,чили,арауко	Arauco,_Chile
боскотреказ,италия,боскотреказе	Boscotrecase
аккуаформоза,италия,аккуаформоза	Acquaformosa
баколь,италия,баколи	Bacoli
агуарон,испания,агуарон	Aguarón
варри,нигерия,варри	Warri
аккуарик-дель-капо,италия,аккуарика-дель-капо	Acquarica_del_Capo
вильянуэв-де-ласа-торрес,испания,вильянуэва-де-лас-торрес	Villanueva_de_las_Torres
абад-ташк,иран,абаде-ташк	Abadeh_Tashk
бенамаурель,испания,бенамаурель	Benamaurel
вильяфранк-дель-кампо,испания,вильяфранка-дель-кампо	Villafranca_del_Campo
боадилья-дель-камин,испания,боадилья-дель-камино	Boadilla_del_Camino
аной,италия,аноя	Anoia,_Calabria
бикин,город,россия,хабаровский край,бикин	Bikin
вальстрон,италия,вальстрона	Valstrona
альмодовар-дель-пинар,испания,альмодовар-дель-пинар	Almodóvar_del_Pinar
алих-дель-инфантадо,испания,алиха-дель-инфантадо	Alija_del_Infantado
вобарный,италия,вобарно	Vobarno
виколь,италия,виколи	Vicoli
вилямовице,польша,вилямовице	Wilamowice
бандар-лампунг,индонезия,бандар-лампунг	Bandar_Lampung
вильятурда,испания,вильятурде	Villaturde
альтавилла-вичентина,италия,альтавилла-вичентина	Altavilla_Vicentina
баньоль-дель-триньо,италия,баньоли-дель-триньо	Bagnoli_del_Trigno
арриах,австрия,арриах	Arriach
вильяблино,испания,вильяблино	Villablino
бужумбура,бурунди,бужумбура	Bujumbura
визный,бургенланд,австрия,визен	Wiesen,_Austria
вильямайор-де-тревиньо,испания,вильямайор-де-тревиньо	Villamayor_de_Treviño
бернсвилл,город,миннесота,соединять штат америка,сша,америка,бернсвилл	Burnsville,_Minnesota
алатри,италия,алатри	Alatri
баньореджо,италия,баньореджо	Bagnoregio
ботоу,,ботоу	Botou
альбезе-кон-кассано,италия,альбезе-кон-кассано	Albese_con_Cassano
барберино-валя-д’эльс,италия,барберино-валь-д’эльса	Barberino_Val_d'Elsa
бендер-ленг,иран,бендер-ленге	Bandar_Lengeh
бовина,италия,бовино	Bovino
барамула,индия,барамула	Baramulla
владимир-волынский,украина,владимир-волынский	Volodymyr-Volynskyi
альвиано,италия,альвиано	Alviano
валлетта,мальта,валлетта	Valletta
барцин,польша,барцин	Barcin
бестек,иран,бестек	Bastak
арендал,,арендал	Arendal
боад-де-кампос,испания,боада-де-кампос	Boada_de_Campos
баньон,испания,баньон	Bañón
амбувумб,мадагаскар,амбувумбе	Ambovombe-Androy
вилла-сантина,италия,вилла-сантина	Villa_Santina
виковаро,италия,виковаро	Vicovaro
бастида-де-досси,италия,бастида-де-досси	Bastida_de'_Dossi
аббатеджо,,аббатеджо	Abbateggio
анан,токусима,,анан	Anan,_Tokushima
виллаурбан,италия,виллаурбана	Villaurbana
баньос-де-ла-энсин,испания,баньос-де-ла-энсина	Baños_de_la_Encina
амадор,,амадора	Amadora
баргарх,индия,баргарх	Bargarh
адыяман,турция,адыяман	Adıyaman
аверс,италия,аверса	Aversa
бхуджа,индия,бхудж	Bhuj
багешвар,индия,багешвар	Bageshwar
аппиньяно-дель-тронто,италия,аппиньяно-дель-тронто	Appignano_del_Tronto
амелия,город,италия,амелия	Amelia,_Umbria
бербенно-ди-вальтеллин,италия,бербенно-ди-вальтеллина	Berbenno_di_Valtellina
алхамбра,калифорния,соединять штат америка,сша,америка,алхамбра	Alhambra,_California
альверня,польша,альверня	Alwernia
бланский,чехия,бланско	Blansko
бандера,техас,соединять штат америка,сша,америка,бандера	Bandera,_Texas
бертонико,италия,бертонико	Bertonico
бакар,хорватия,бакар	Bakar
ворожба,город,украина,ворожба	Vorozhba
вольвер,италия,вольвера	Volvera
борго-д’але,италия,борго-д’але	Borgo_d'Ale
вольтаго-агордино,италия,вольтаго-агордино	Voltago_Agordino
альбайрат,италия,альбайрате	Albairate
альбаретто-делла-торра,италия,альбаретто-делла-торре	Albaretto_della_Torre
верхний салда,,верхняя салда	Verkhnyaya_Salda
авк,нигерия,авка	Awka
бидерманнсдорф,австрия,бидерманнсдорф	Biedermannsdorf
авилес,испания,авилес	Avilésа
болотное,россия,новосибирский область,болотное	Bolotnoye
бардолин,италия,бардолино	Bardolino
бхивань,индия,бхивани	Bhiwani
алитус,литва,алитус	Alytus
астана,казахстан,астана	Astana
бриндизи-монтание,италия,бриндизи-монтанья	Brindisi_Montagna
вельс,австрия,вельс	Wels
вилково,украина,вилково	Vylkove
бекингем,техас,соединять штат америка,сша,америка,бекингем	Buckingham,_Richardson,_Texas
бад-дойч-альтенбург,австрия,бад-дойч-альтенбург	Bad_Deutsch-Altenburg
вильяфранк-де-ла-сьерра,испания,вильяфранка-де-ла-сьерра	Villafranca_de_la_Sierra
бричаны,молдавия,бричаны	Briceni
вилларикк,италия,вилларикка	Villaricca
альмуние-де-сан-хуан,испания,альмуния-де-сан-хуан	Almunia_de_San_Juan
белтра,город,миннесота,соединять штат америка,сша,америка,белтрами	Beltrami,_Minnesota
брашов,румыния,брашов	Brașov
брить-червиния,,брёй-червиния	Breuil-Cervinia
бальдиссеро-торинез,италия,бальдиссеро-торинезе	Baldissero_Torinese
вильгельмсхафен,германия,вильгельмсхафен	Wilhelmshaven
вимеркат,италия,вимеркате	Vimercate
буэу,,буэу	Bueu
белфаст,северный ирландия,белфаст	Belfast
альбозаджа,италия,альбозаджа	Albosaggia
арменый,италия,армено	Armeno
бендзин,польша,бендзин	Będzin
абия-де-ласа-торрес,испания,абия-де-лас-торрес	Abia_de_las_Torres
батерст,город,австралия,австралия,батерст	Bathurst,_New_South_Wales
вилланов-маркезан,италия,вилланова-маркезана	Villanova_Marchesana
альбаджар,италия,альбаджара	Albagiara
вайсенбах-ан-дер-тристинг,австрия,вайсенбах-ан-дер-тристинг	Weissenbach_an_der_Triesting
башать,италия,башано	Basciano
виллароманьяно,италия,виллароманьяно	Villaromagnano
вильяобиспо-де-отеро,испания,вильяобиспо-де-отеро	Villaobispo_de_Otero
вилланов-монферрато,италия,вилланова-монферрато	Villanova_Monferrato
антиколь-коррадо,италия,антиколи-коррадо	Anticoli_Corrado
варнсдорф,чехия,варнсдорф	Varnsdorf
вильямбистия,испания,вильямбистия	Villambistia
аргис,испания,аргис	Arguis
ваксхольм,швеция,ваксхольм	Vaxholm
алькорис,испания,алькориса	Alcorisa
бенатка-над-йизероу,чехия,бенатки-над-йизероу	Benátky_nad_Jizerou
волув,польша,волув	Wołów
багалаживать,италия,багалади	Bagaladi
амстелвный,нидерланды,амстелвен	Amstelveen
агуас-кандидас,испания,агуас-кандидас	Aguas_Cándidas
аргостолион,греция,аргостолион	Argostoli
баррали,италия,баррали	Barrali
аттильяно,италия,аттильяно	Attigliano
воткинск,россия,удмуртия,воткинск	Votkinsk
анцано-ди-пул,италия,анцано-ди-пулья	Anzano_di_Puglia
вевак,папуа — новый гвинея,вевак	Wewak
вильябастый-де-вальдавия,испания,вильябаста-де-вальдавия	Villabasta_de_Valdavia
айзенхюттенштадт,германия,айзенхюттенштадт	Eisenhüttenstadt
абданан,иран,абданан	Abdanan
анян,республика корея,корея,южный корея,анян	Anyang,_Gyeonggi
бургауберг-нойдауберг,австрия,бургауберг-нойдауберг	Burgauberg-Neudauberg
белгрейд,соединять штат америка,сша,америка,белгрейд	Belgrade,_Montana
бивер-крик,город,миннесота,соединять штат америка,сша,америка,бивер-крик	Beaver_Creek,_Minnesota
аки,город,,аки	Aki,_Kōchi
вогьер,италия,вогьера	Voghiera
басконсильос-дель-тосо,испания,басконсильос-дель-тосо	Basconcillos_del_Tozo
винница,украина,винница	Vinnytsia
борзна,украина,борзна	Borzna
брус,польша,брусы	Brusy
ацуг,япония,ацуги	Atsugi,_Kanagawa
брикеразио,италия,брикеразио	Bricherasio
вальтопин,италия,вальтопина	Valtopina
бриндизи,италия,бриндизи	Brindisi
алич-бель-колл,италия,аличе-бель-колле	Alice_Bel_Colle
бхавнагар,индия,бхавнагар	Bhavnagar
амаюэлас-де-арриб,испания,амаюэлас-де-арриба	Amayuelas_de_Arriba
балашиха,россия,московский область,балашиха	Balashikha
валль-салимбене,италия,валле-салимбене	Valle_Salimbene
винасеивать,испания,винасейте	Vinaceite
бакленд,аляска,,бакленд	Buckland,_Alaska
арцано,италия,арцано	Arzano
антильон,испания,антильон	Antillón
буджерра,италия,буджерру	Buggerru
асереда,испания,асеред	Acered
буэн-парк,калифорния,соединять штат америка,сша,америка,буэна-парк	Buena_Park,_California
вюрмло,австрия,вюрмла	Würmla
боулус,город,миннесота,соединять штат америка,сша,америка,боулус	Bowlus,_Minnesota
авеццано,италия,авеццано	Avezzano
аладжа-хююк,,аладжа-хююк	Alaca_Höyük
вилларбасс,италия,вилларбассе	Villarbasse
бардеев,словакия,бардеёв	Bardejov
браунсдейл,город,миннесота,соединять штат америка,сша,америка,браунсдейл	Brownsdale,_Minnesota
ванцагелло,италия,ванцагелло	Vanzaghello
борутта,италия,борутта	Borutta
асо,город,япония,асо	Aso,_Kumamoto
вильяконансио,испания,вильяконансио	Villaconancio
бергиш-гладбах,германия,бергиш-гладбах	Bergisch_Gladbach
валье-де-мансанедо,испания,валье-де-мансанедо	Valle_de_Manzanedo
альмодовар-дель-рио,испания,альмодовар-дель-рио	Almodóvar_del_Río
брачильяно,италия,брачильяно	Bracigliano
вальбуэн-де-писуэрг,испания,вальбуэна-де-писуэрга	Valbuena_de_Pisuerga
вальданьо,италия,вальданьо	Valdagno
бьяндза,италия,бьяндзе	Bianzè
болонья,италия,болонья	Bologna
войцешув,польша,войцешув	Wojcieszów
бордон,испания,бордон	Bordón
виллановафранк,италия,виллановафранка	Villanovafranca
абдан,иран,абдан	Abdan
бессарабка,молдавия,бессарабка	Basarabeasca
бриуэг,испания,бриуэга	Brihuega
армения,антьокия,колумбия,армения	Armenia,_Antioquia
вальстанье,италия,вальстанья	Valstagna
арджелато,италия,арджелато	Argelato
бенгел,город,ангола,бенгела	Benguela
барлинг,арканзас,соединять штат америка,сша,америка,барлинг	Barling,_Arkansas
альпухарра-де-ла-сьерра,испания,альпухарра-де-ла-сьерра	Alpujarra_de_la_Sierra
безаный,италия,безано	Besano
барбадильо-дель-пес,испания,барбадильо-дель-пес	Barbadillo_del_Pez
вольфсберг,каринтия,австрия,вольфсберг	Wolfsberg,_Carinthia
биоград-на-мор,хорватия,биоград-на-мору	Biograd_na_Moru
вальделугерасти,,вальделугерос	Valdelugueros
вальтурнанш,италия,вальтурнанш	Valtournenche
алипур,индия,алипур	Alipore
аниф,австрия,аниф	Anif
вижница,украина,вижница	Vyzhnytsia
альфос-де-кинтанадуэньяс,испания,альфос-де-кинтанадуэньяс	Alfoz_de_Quintanadueñas
арао,япония,арао	Arao,_Kumamoto
альцано-ломбардо,италия,альцано-ломбардо	Alzano_Lombardo
арсуф,,арсуф	Arsuf
атек,испания,атека	Ateca
бат,город,индонезия,бату	Batu_(city)
боргетто-ди-борбер,италия,боргетто-ди-борбера	Borghetto_di_Borbera
ачерно,италия,ачерно	Acerno
бехбехан,иран,бехбехан	Behbahan
буссолить,италия,буссолено	Bussoleno
амеюго,испания,амеюго	Ameyugo
ава,город,япония,,ава	Awa,_Tokushima
баж,бразилия,баже	Bagé
абетон,италия,абетоне	Abetone
вальдекабальерасти,испания,вальдекабальерос	Valdecaballeros
вентотень,город,италия,вентотене	Ventotene
атеа,сарагоса,испания,атеа	Atea,_Zaragoza
бруина,италия,бруино	Bruino
арнем,нидерланды,арнем	Arnhem
барроу,аляска,,барроу	Barrow,_Alaska
вилла-лагарина,италия,вилла-лагарина	Villa_Lagarina
вашингтон-на-бразося,,вашингтон-на-бразосе	Washington-on-the-Brazos,_Texas
ачэн,,ачэн	Acheng_District
барджор,индия,барджора	Barjora
боно,сардиния,италия,боно	Bono,_Italy
вийтасаарь,,вийтасаари	Viitasaari
арез,италия,арезе	Arese
брайтенфурт-бай-вино,австрия,брайтенфурт-бай-вин	Breitenfurt_bei_Wien
бат,индонезия,батам	Batam
вильянуэв-де-ла-рейн,испания,вильянуэва-де-ла-рейна	Villanueva_de_la_Reina
багдать,грузия,багдати	Baghdati
блэкдак,город,миннесота,соединять штат америка,сша,америка,блэкдак	Blackduck,_Minnesota
баранцата,италия,баранцате	Baranzate
бульбуэнт,испания,бульбуэнте	Bulbuente
вуковар,хорватия,вуковар	Vukovar
бук,повить,познанский повенок,польша,бук	Buk
боргомазино,италия,боргомазино	Borgomasino
вуктыл,россия,республика коми,коми,вуктыл	Vuktyl
вергас,город,миннесота,соединять штат америка,сша,америка,вергас	Vergas,_Minnesota
бреццо-ди-бедеро,италия,бреццо-ди-бедеро	Brezzo_di_Bedero
ботсфьорд,норвегия,финнмарк,ботсфьорд	Båtsfjord
выборг,россия,ленинградский область,выборг	Vyborg
боретто,италия,боретто	Boretto
войнич,польша,польша,войнич	Wojnicz
аренильяс-де-риописуэрг,испания,аренильяс-де-риописуэрга	Arenillas_de_Riopisuerga
ардеа,италия,ардеа	Ardea,_Lazio
брокен-боу,небраска,соединять штат америка,сша,америка,брокен-боу	Broken_Bow,_Nebraska
волгодонск,россия,ростовский область,волгодонск	Volgodonsk
врлик,хорватия,врлика	Vrlika
вардха,индия,вардха	Wardha
аркуат-дель-тронто,италия,аркуата-дель-тронто	Arquata_del_Tronto
боффалор-сопер-тичино,италия,боффалора-сопра-тичино	Boffalora_sopra_Ticino
вальдоббьяден,италия,вальдоббьядене	Valdobbiadene
бюрегаван,армения,бюрегаван	Byureghavan
вилла-литерный,италия,вилла-литерно	Villa_Literno
вильякирана-де-лос-инфантес,испания,вильякиран-де-лос-инфантес	Villaquirán_de_los_Infantes
вертавильо,испания,вертавильо	Vertavillo
болохово,россия,тульский область,болохово	Bolokhovo
бжесць-куявский,польша,бжесць-куявский	Brześć_Kujawski
асеучаль,,асеучаль	Aceuchal
бранкалеон,италия,бранкалеоне	Brancaleone,_Calabria
аба,город,нигерия,аба	Aba,_Abia
аллерон,италия,аллерона	Allerona
бульчаго,италия,бульчаго	Bulciago
аджерол,италия,аджерола	Agerola
богданци,город,македония,богданци	Bogdanci
айнзидельн,швейцария,айнзидельн	Einsiedeln
балангир,индия,балангир	Balangir
вустрый,массачусетс,соединять штат америка,сша,америка,вустер	Worcester,_Massachusetts
вильяселан,,вильяселан	Villaselán
бадулла,шри-ланка,бадулла	Badulla
амасья,турция,амасья	Amasya
бразилиа,бразилия,бразилиа	Brasília
верхнеднепровск,украина,верхнеднепровск	Verkhnodniprovsk
базельга-ди-пина,италия,базельга-ди-пине	Baselga_di_Pinè
айк,венгрия,айка	Ajka
бад-радкерсбург,австрия,бад-радкерсбург	Bad_Radkersburg
барранкилья,колумбия,барранкилья	Barranquilla
вильядеканес,испания,вильядеканес	Toral_de_los_Vados
висьен,испания,висьен	Vicién
афьон-карахисар,турция,афьон-карахисар	Afyonkarahisar
виллорб,италия,виллорба	Villorba
вараби,,вараби	Warabi,_Saitama
вальпрато-соан,италия,вальпрато-соана	Valprato_Soana
абовян,город,армения,абовян	Abovyan
вискаинос,испания,вискаинос	Vizcaínos
агаццано,италия,агаццано	Agazzano
балаклава,,балаклава	Balaklava
