ольба,испания,Ольба	Olba,_Aragon
одрейн,соединять штат америка,округ,миссури,Одрейн 	Audrain_County,_Missouri
озидда,италия,коммуна,Озидда	Osidda
ормуаш,франция,коммуна,Ормуаш	Ormoiche
обинья-ле-сомбернон,франция,коммуна,Обиньи-ле-Сомбернон	Aubigny-lès-Sombernon
олевский район,украина,Олевский район	Olevsk_Raion
оден-ле-роман,франция,коммуна,Одён-ле-Роман	Audun-le-Roman
ондзюк,япония,посёлок,Ондзюку	Onjuku
остштайнбек,германия,коммуна,Остштайнбек	Oststeinbek
овандо,республика конго,город,Овандо	Owando
орный,италия,коммуна,Орнаго	Ornago
отревиль,франция,коммуна,эна,Отревиль 	Autreville,_Aisne
оттерталь,австрия,коммуна,Оттерталь	Otterthal
ошикото,намибия,город,Ошикото	Oshikoto_Region
озаско,италия,коммуна,Озаско	Osasco,_Piedmont
оппенау,германия,город,Оппенау	Oppenau
оло,франция,коммуна,Оло	Aulos,_Ariège
орен,франция,коммуна,атлантический пиренеи,Орен 	Orin,_Pyrénées-Atlantiques
оберплайхфельд,германия,коммуна,Оберплайхфельд	Oberpleichfeld
озерск,россия,челябинский область,город,Озёрск 	Ozyorsk,_Chelyabinsk_Oblast
оксенхоуп,великобритания,деревня,Оксенхоуп	Oxenhope
обермихельба,германия,коммуна,Обермихельбах	Obermichelbach
орьокур,франция,коммуна,Орьокур	Oriocourt
оромия,эфиопия,Оромия	Oromia_Region
отроша,франция,коммуна,Отрош	Hauteroche
обераудорф,германия,коммуна,Обераудорф	Oberaudorf
обертауфкирхен,германия,коммуна,Обертауфкирхен	Obertaufkirchen
ортуэлья,испания,Ортуэлья	Ortuella
одинцово,россия,город,Одинцово	Odintsovo
оцелул-рош,румыния,город,Оцелул-Рошу	Oțelu_Roșu
обижать,болгария,село,Обидим	Obidim
осуиго,соединять штат америка,нью-йорк,округ,Осуиго 	Oswego_County,_New_York
оффенберг,германия,коммуна,Оффенберг	Offenberg
олужас,испания,Олужас	Les_Oluges
ормигос,испания,Ормигос	Hormigos
обань,франция,город,Обань	Aubagne
орье,франция,коммуна,Орья 	Auriat
оберланд-ама-ренштайг,германия,коммуна,Оберланд-ам-Ренштайг	Oberland_am_Rennsteig
омоль,швеция,город,Омоль 	Åmål
ормуа,франция,верхний сона,коммуна,Ормуа 	Ormoy,_Haute-Saône
оберрютя,швейцария,коммуна,Оберрюти	Oberrüti
оберштекхольц,швейцария,коммуна,Оберштекхольц	Obersteckholz
оравски подзамок,словакия,деревня,район долна кубин,Оравски Подзамок 	Oravský_Podzámok
окадзаки,япония,Окадзаки	Okazaki,_Aichi
онтигол,испания,Онтигола	Ontígola
оньят,испания,муниципалитет,Оньяте	Oñati
оттенсхайм,австрия,Оттенсхайм	Ottensheim
оборницкий повенок,польша,город,Оборницкий повят	Oborniki_County
остенде,бельгия,Остенде	Ostend
орезон,франция,коммуна,Орезон	Oraison
онвервахта,суринам,город,Онвервахт	Onverwacht,_Suriname
отвьель-сено-мартен-бидеран,франция,коммуна,Отвьель-Сен-Мартен-Бидеран	Autevielle-Saint-Martin-Bideren
овен,германия,город,Овен 	Owen,_Germany
опово,сербия,город,Опово 	Opovo
оршанский район,россия,посёлок,марья эл,Оршанский район 	Orshansky_District
остербург,германия,альтмарк,город,Остербург 	Osterburg_(Altmark)
олстер,соединять штат америка,нью-йорк,округ,Олстер 	Ulster_County,_New_York
оденбах,германия,коммуна,город,Оденбах 	Odenbach
оницкан,молдавия,село,Оницканы	Onițcani
овчарово,болгария,село,хасковский область,Овчарово 	Ovcharovo,_Haskovo_Province
ольмедильо-де-роа,испания,Ольмедильо-де-Роа	Olmedillo_de_Roa
остров возрождение,узбекистан,Остров Возрождения	Vozrozhdeniya_Island
орбанех-риопико,испания,Орбанеха-Риопико	Orbaneja_Riopico
ойрасбург,германия,швабия,коммуна,Ойрасбург 	Eurasburg,_Swabia
ореш,болгария,село,Ореше	Oreshe
оттенштайн,германия,коммуна,нижний саксония,Оттенштайн 	Ottenstein
оккьеппо-супериора,италия,коммуна,Оккьеппо-Супериоре	Occhieppo_Superiore
орей,франция,коммуна,Орей	Aureille
остыр-камык,болгария,село,Остыр-Камык	Ostar_kamak
оснабрюк,германия,район,Оснабрюк 	Osnabrück_(district)
оберфогау,австрия,коммуна,Оберфогау	Obervogau
округ 02,германия,дюссельдорф,Округ 02 	District_2,_Düsseldorf
ороко,бразилия,муниципалитет,Ороко	Orocó
обонкур-возель,франция,коммуна,Обонкур-Возель	Auboncourt-Vauzelles
октябрьский район,россия,ростовский область,Октябрьский район 	Oktyabrsky_District,_Rostov_Oblast
орловский район,россия,орловский область,Орловский район 	Orlovsky_District,_Oryol_Oblast
осинский район,россия,село,иркутский область,Осинский район 	Osinsky_District,_Irkutsk_Oblast
ольмед-де-ласа-фуэнтес,испания,муниципалитет,Ольмеда-де-лас-Фуэнтес	Olmeda_de_las_Fuentes
ораньемунд,намибия,город,Ораньемунд	Oranjemund
онтанас,испания,Онтанас	Hontanas
остермундиген,швейцария,коммуна,Остермундиген	Ostermundigen
оксенфурт,германия,город,Оксенфурт	Ochsenfurt
октябрьский район,россия,курская область,Октябрьский район 	Oktyabrsky_District,_Kursk_Oblast
ориоло,италия,коммуна,Ориоло	Oriolo
очимбингве,намибия,населённый пункт,Очимбингве	Otjimbingwe
оберфишбах,германия,коммуна,Оберфишбах	Oberfischbach
оленек,россия,село,Оленёк 	Olenyok_(rural_locality)
ористать,италия,коммуна,Ористано	Oristano
окилтри,соединять штат америка,округ,техас,Окилтри 	Ochiltree_County,_Texas
оберлунгвиц,германия,город,Оберлунгвиц	Oberlungwitz
окоп,украина,тернопольский область,Окопы 	Okopy,_Ternopil_Oblast
осбург,германия,коммуна,Осбург	Osburg
отави,намибия,Отави	Otavi
озерайя,франция,коммуна,Озерай	Ozerailles
орьяк-л’эглиз,франция,коммуна,Орьяк-л’Эглиз	Auriac-l'Église
окленд,соединять штат америка,калифорния,Окленд 	Oakland,_California
овчар,польша,краковский повенок,село,Овчары 	Owczary,_Kraków_County
обо,центральноафриканский республика,столица,город,Обо 	Obo
орум,германия,коммуна,Орум	Ohrum
орье,франция,коммуна,Орьё	Orieux
орьяк-лагаста,франция,коммуна,Орьяк-Лагаст	Auriac-Lagast
оттерфинг,германия,коммуна,Оттерфинг	Otterfing
оливелья,испания,муниципалитет,Оливелья	Olivella
остингерслебен,германия,деревня,Остингерслебен	Ostingersleben
остров райнер,россия,остров,Остров Райнера	Rainer_Island
оглиторп,соединять штат америка,округ,джорджия,Оглиторп 	Oglethorpe_County,_Georgia
орисса,индия,штат,Орисса	Odisha
окуловский район,россия,город,Окуловский район	Okulovsky_District
острогожск,россия,город,Острогожск	Ostrogozhsk
ольп,германия,район,Ольпе 	Olpe_(district)
ояпока,бразилия,муниципалитет,Ояпоки	Oiapoque
оливейра,португалия,район,барселуша,Оливейра 	Oliveira_(Barcelos)
онцо,италия,коммуна,Онцо	Onzo
оленекский район,россия,село,Оленёкский район	Olenyoksky_District
омский район,россия,посёлок,Омский район	Omsky_District
оспедалетти,италия,коммуна,Оспедалетти	Ospedaletti
обервизенталь,германия,город,Обервизенталь	Oberwiesenthal
ораделла,соединять штат америка,нью-джерси,Ораделл 	Oradell,_New_Jersey
о-сассандра,кот-д’ивуар,город,О-Сассандра	Haut-Sassandra
ольм,франция,коммуна,Ольме	Haulmé
оберлангенег,швейцария,коммуна,Оберлангенег	Oberlangenegg
оберхофен-ама-иррзой,австрия,коммуна,Оберхофен-ам-Иррзее	Oberhofen_am_Irrsee
о,норвегия,деревня,москенес,О 	Å,_Moskenes
оссаки,франция,коммуна,Оссак	Aussac
обербеттинген,германия,коммуна,Обербеттинген	Oberbettingen
оберн,соединять штат америка,калифорния,город,Оберн 	Auburn,_California
оконешниковский район,россия,Оконешниковский район	Okoneshnikovsky_District
ольденбург-ин-хольштайн,германия,город,Ольденбург-ин-Хольштайн	Oldenburg_in_Holstein
октябрьский район,россия,ханты-мансийский автономный округ,Октябрьский район 	Oktyabrsky_District,_Khanty-Mansi_Autonomous_Okrug
оклахома,соединять штат америка,штат,Оклахома	Oklahoma
обервег,австрия,коммуна,Обервег	Oberweg
ошенкерн,великобритания,Ошенкерн	Auchencairn
овайхи,соединять штат америка,округ,айдахо,Овайхи 	Owyhee_County,_Idaho
олецкий,польша,гмина,Олецко 	Gmina_Olecko
оттензос,германия,коммуна,Оттензос	Ottensoos
османель,турция,город,Османели	Osmaneli
ольджат-олон,италия,город,Ольджате-Олона	Olgiate_Olona
обермайтинген,германия,коммуна,Обермайтинген	Obermeitingen
оти,франция,кальвадос,коммуна,Оти 	Authie,_Calvados
ове-э-ла-шаплот,франция,коммуна,Ове-э-ла-Шаплот	Auvet-et-la-Chapelotte
обрубать,чехия,община,Обруби	Obruby
отань,сербия,Отань	Otanj
обфельден,швейцария,коммуна,Обфельден	Obfelden
озас,франция,коммуна,Озас	Auzas
оттеншлаг,австрия,нижний австрия,Оттеншлаг 	Ottenschlag
отвайлер,германия,город,Отвайлер	Ottweiler
огат,япония,село,Огата	Ōgata,_Akita
озинский район,россия,Озинский район	Ozinsky_District
онтория-де-серрато,испания,населённый пункт,Онтория-де-Серрато	Hontoria_de_Cerrato
ош-ле-мина,франция,коммуна,Оши-ле-Мин	Auchy-les-Mines
орсар-ди-пул,италия,коммуна,Орсара-ди-Пулья	Orsara_di_Puglia
осиный,япония,село,Осино	Oshino,_Yamanashi
обершикур,франция,коммуна,Обершикур	Auberchicourt
обервайсбах,германия,тюрингенский лес,город,Обервайсбах 	Oberweißbach
облазница,украина,село,Облазница	Oblaznytsia
одесса,соединять штат америка,город,миннесота,Одесса 	Odessa,_Minnesota
оссиах,австрия,коммуна,Оссиах	Ossiach
ориваль,франция,шарант,коммуна,Ориваль 	Orival,_Charente
ореховый-борисово южный,россия,Орехово-Борисово Южное	Orekhovo-Borisovo_Yuzhnoye_District
оамар,новый зеландия,Оамару	Oamaru
орша,россия,посёлок,тверская область,поселок городской тип,Орша 	Orsha_(urban-type_settlement),_Tver_Oblast
отвель,франция,коммуна,Отвель 	Hautevelle
обрекать,франция,коммуна,Обрек	Obreck
обертифенбах,германия,таунус,коммуна,Обертифенбах 	Obertiefenbach
островский район,россия,костромской область,Островский район 	Ostrovsky_District,_Kostroma_Oblast
оппидо-мамертина,италия,коммуна,Оппидо-Мамертина	Oppido_Mamertina
ольденсворт,германия,коммуна,Ольденсворт	Oldenswort
осс,нидерланды,город,Осс	Oss
окар,бразилия,сеара,Окара 	Ocara
орино,италия,коммуна,Орино	Orino,_Lombardy
ореховский район,украина,город,Ореховский район	Orikhiv_Raion
орийака,франция,город,Орийак	Aurillac
ординский район,россия,село,Ординский район	Ordinsky_District
оливейра,бразилия,минас-жерайс,Оливейра 	Oliveira,_Minas_Gerais
обербергкирхен,германия,коммуна,Обербергкирхен	Oberbergkirchen
октябрьский район,россия,посёлок,курская область,Октябрьский район 	Oktyabrsky_District,_Kursk_Oblast
остерби,германия,шлезвиг-фленсбург,коммуна,Остерби 	Osterby,_Schleswig-Flensburg
оберельберт,германия,коммуна,Оберельберт	Oberelbert
оломоуц,чехия,район,Оломоуц 	Olomouc_District
огузханский этрап,туркмения,Огузханский этрап	Oguzhan_District
омисси,франция,коммуна,Омисси	Omissy
одос,франция,коммуна,Одос	Odos
озини,италия,коммуна,Озини	Osini
ози,франция,коммуна,Ози	Auzits
ограждать,болгария,село,Огражден 	Ograzhden,_Dobrich_Province
онрубий-де-ла-куэст,испания,Онрубия-де-ла-Куэста	Honrubia_de_la_Cuesta
ольбий,италия,город,Ольбия	Olbia
орг,франция,коммуна,Орг	Horgues
озалп,турция,город,Озалп	Özalp,_Van
ордонный,франция,коммуна,Ордонна	Ordonnaz
окдейл,соединять штат америка,город,миннесота,Окдейл 	Oakdale,_Minnesota
обермелер,германия,коммуна,Обермелер	Obermehler
обершайнфельд,германия,коммуна,Обершайнфельд	Oberscheinfeld
ожарув-мазовецкий,польша,Ожарув-Мазовецкий	Ożarów_Mazowiecki
осекать,чехия,город,чехия,Осек 	Osek_(Teplice_District)
овариасаха,япония,город,Овариасахи	Owariasahi,_Aichi
орать,бразилия,санта-катарина,Ору 	Ouro
ольвег,испания,Ольвега	Ólvega
ортийон,франция,коммуна,Ортийон	Ortillon
оберотмарсхаузен,германия,коммуна,Оберотмарсхаузен	Oberottmarshausen
оберкирн,германия,коммуна,Оберкирн	Oberkirn
овернь,франция,Овернь	Auvergne_(region)
отрадненский район,россия,Отрадненский район	Otradnensky_District
орждь,франция,коммуна,Орждёй	Orgedeuil
отака,япония,поселок,посёлок,Отаки 	Ōtaki,_Chiba
олбануть,соединять штат америка,город,техас,Олбани 	Albany,_Texas
оходза,польша,село,малопольский воеводство,Оходза 	Ochodza,_Lesser_Poland_Voivodeship
оболонский район,украина,Оболонский район	Obolonskyi_District
онскирша,франция,коммуна,Онскирш	Honskirch
октябрьский район,россия,костромской область,Октябрьский район 	Oktyabrsky_District,_Kostroma_Oblast
оберзиггенталь,швейцария,коммуна,Оберзиггенталь	Obersiggenthal
ольмо-джентиль,италия,коммуна,Ольмо-Джентиле	Olmo_Gentile
ор,италия,провинция больцано,коммуна,Ора 	Auer,_South_Tyrol
окосинго,мексика,город,Окосинго	Ocosingo
оратино,италия,Оратино	Oratino
остерфельд,германия,саксония-анхальт,город,Остерфельд 	Osterfeld
ораас,франция,коммуна,Ораас	Oraàs
олльный,франция,коммуна,южный корсик,Оллен 	Aullène
ойос,испания,муниципалитет,Ойос	Hoyos
оберхаллау,швейцария,коммуна,Оберхаллау	Oberhallau
оден,испания,муниципалитет,льейд,Оден 	Odèn
ожиш,польша,город,Ожиш	Orzysz
ортез,франция,город,Ортез	Orthez
ортиньяно-раджоло,италия,коммуна,Ортиньяно-Раджоло	Ortignano_Raggiolo
отсего,соединять штат америка,нью-йорк,округ,Отсего 	Otsego_County,_New_York
обердорфф,франция,коммуна,Обердорфф	Oberdorff
олонецкий район,россия,город,Олонецкий район	Olonetsky_District
олетта,франция,коммуна,Олетта	Oletta
орбетелло,италия,город,Орбетелло	Orbetello
оборник-сленск,польша,гмина,Оборники-Слёнске 	Gmina_Oborniki_Śląskie
окхольм,германия,коммуна,Окхольм	Ockholm
омит,ирландия,деревня,Омит	Omeath
обанадзав,япония,город,Обанадзава	Obanazawa,_Yamagata
обердрайс,германия,коммуна,Обердрайс	Oberdreis
обровац,босния и герцеговина,село,республика сербский,Обровац 	Obrovac,_Banja_Luka
омикур,франция,коммуна,Омикур	Omicourt
овчарово,болгария,добричский область,село,Овчарово 	Ovcharovo,_Dobrich_Province
оберстдорф,германия,коммуна,Оберстдорф	Oberstdorf
олешица,польша,Олешице	Oleszyce
орать-вель,бразилия,муниципалитет,Ору-Велью	Ouro_Velho
октябрьский район,россия,оренбургский область,Октябрьский район 	Oktyabrsky_District,_Orenburg_Oblast
опочка,россия,город,Опочка	Opochka
орьоль,франция,коммуна,буш-дю-рон,Орьоль 	Auriol,_Bouches-du-Rhône
одоло,италия,коммуна,Одоло	Odolo
охинлек,великобритания,город,Охинлек	Auchinleck
озерский городской округ,россия,калининградский область,Озёрский городской округ 	Ozyorsky_District,_Kaliningrad_Oblast
окамвиль,франция,коммуна,верхний гаронна,Окамвиль 	Aucamville,_Haute-Garonne
ольшовица,польша,село,Ольшовице	Olszowice
обрубец,чехия,община,Обрубце	Obrubce
осуюс,канада,община,Осуюс 	Osoyoos
орешец,болгария,село,хасковский область,Орешец 	Oreshets,_Haskovo_Province
оджоно,италия,населённый пункт,Оджоно	Oggiono
осмаци,босния и герцеговина,населённый пункт,Осмаци	Osmaci
оцьери,италия,коммуна,Оцьери	Ozieri
одерауэ,германия,коммуна,Одерауэ	Oderaue
орио-аль-серио,италия,коммуна,Орио-аль-Серио	Orio_al_Serio
оливедус,бразилия,Оливедус	Olivedos,_Paraíba
оно-сан-пьетро,италия,коммуна,Оно-Сан-Пьетро	Ono_San_Pietro
отон-эбеон,франция,коммуна,Отон-Эбеон	Authon-Ébéon
одиньикур,франция,коммуна,Одиньикур	Audignicourt
ола,соединять штат америка,арканзас,Ола 	Ola,_Arkansas
ом,япония,япония,посёлок,Ома 	Ōma,_Aomori
остшешув,польша,Остшешув	Ostrzeszów
олур,турция,город,Олур	Olur
ор-эркеншвик,германия,город,Ор-Эркеншвик	Oer-Erkenschwick
омельмон,франция,коммуна,Омельмон	Omelmont
очиваронго,намибия,город,Очиваронго	Otjiwarongo
овиллар,франция,коммуна,Овиллар	Auvillars
одатэ,япония,город,Одатэ	Ōdate
обербаххайм,германия,коммуна,Обербаххайм	Oberbachheim
оберхайд,германия,коммуна,вестервальд,Оберхайд 	Oberhaid,_Rhineland-Palatinate
орпунд,швейцария,коммуна,Орпунд	Orpund
оссио,соединять штат америка,город,миннесота,Оссио 	Osseo,_Minnesota
оттенбюттель,германия,коммуна,Оттенбюттель	Ottenbüttel
ополе,польша,город,Ополе	Opole
одесса,соединять штат америка,город,техас,Одесса 	Odessa,_Texas
орикур,франция,коммуна,Орикур	Oricourt
ошакатить,намибия,город,Ошакати	Oshakati
олонец,россия,город,Олонец	Olonets
ораньестад,аруба,аруба,Ораньестад 	Oranjestad,_Aruba
орьяк,франция,коррез,коммуна,Орьяк 	Auriac,_Corrèze
огден,соединять штат америка,юта,город,Огден 	Ogden,_Utah
ольяна,португалия,район,Ольян 	Olhão_(parish)
оссинген,швейцария,коммуна,Оссинген	Ossingen
обичник,болгария,село,Обичник	Obichnik
обервиль,франция,коммуна,Обервиль	Auberville
оренбург,россия,город,Оренбург	Orenburg
орельян-ла-вьех,испания,Орельяна-ла-Вьеха	Orellana_la_Vieja
оберенц,швейцария,коммуна,Оберёнц	Oberönz
отвиль,франция,коммуна,эна,Отвиль 	Hauteville,_Aisne
олинда-новый-ду-мараньян,бразилия,Олинда-Нова-ду-Мараньян	Olinda_Nova_do_Maranhão
ольтр-иль-колл,италия,коммуна,Ольтре-иль-Колле	Oltre_il_Colle
опатия,хорватия,город,Опатия	Opatija
оберкотцау,германия,коммуна,Оберкотцау	Oberkotzau
охихарес,испания,муниципалитет,Охихарес	Ogíjares
оконджа,габон,город,Оконджа	Okondja
офтерсхайм,германия,коммуна,Офтерсхайм	Oftersheim
оминьяно,италия,коммуна,Оминьяно	Omignano
орать-верди,бразилия,муниципалитет,санта-катарина,Ору-Верди 	Ouro_Verde,_Santa_Catarina
оте,франция,коммуна,Оте	Autet
орчха,индия,город,Орчха	Orchha
обать,камерун,город,Обала	Obala
овюрский кожуун,россия,село,Овюрский кожуун	Ovyursky_District
ош,франция,коммуна,арденны,Ош 	Oches
орансан,франция,верхний пиренеи,коммуна,Орансан 	Aurensan,_Hautes-Pyrénées
они-сюр-одон,франция,коммуна,Оне-сюр-Одон	Aunay-sur-Odon
оссетт,великобритания,город,Оссетт	Ossett
оем,габон,город,Оем	Oyem
